f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20
0.11395267525768511,0.10558939729744743,0.09065686168592467,0.11186994005046422,0.07473316663060461,0.08429955327848228,0.11374313641986239,0.11814673567226423,0.10867278771549929,0.11612392214406442,0.12022651085925753,0.09805169250708834,0.3521731170689457,0.07557346330119831,0.5097673268982862,0.32514301736909806,0.13137461173896864,0.11966340505123758,0.11969626488114976,0.16488727908473536,0.30467317546316813
0.1144678240960027,0.0645613472006096,0.08366524232624356,0.10090411497270167,0.07537871037522809,0.08820042338673018,0.111951480140299,0.0983297500268288,0.09881225186115664,0.11864353761872576,0.11599798728563203,0.1538161619114946,0.17421225705888663,0.17562003445021288,0.34142393534046245,0.38151721237784625,0.2153988669876183,0.14711990665243513,0.13160169258668009,0.17885801666323814,0.2681701568006919
0.09827235063205894,0.08535422549328822,0.06605400391713086,0.09036371534825606,0.07962693906042603,0.10015412707874075,0.09561408767247809,0.11508669870980429,0.08410603445974611,0.11682144082838566,0.08642241506943123,0.22820990041852537,0.1363201324484993,0.11124953701545104,0.3541516143746754,0.6403382616689959,0.4313225450805097,0.14734828894571264,0.16948181291394113,0.1740062190030512,0.24096507905536926
0.10853901371055948,0.08613734313482689,0.07104369524709643,0.08804636823974528,0.08748752884142773,0.09177537358083811,0.1171481640571006,0.1208122969448768,0.0938510422657901,0.13583066958483472,0.10260580401533927,0.20207154148993195,0.1492146398858905,0.11052109025991273,0.6000939664218494,0.5299441540288994,0.35670384155221413,0.17739482688733738,0.20716671471858406,0.15206970561845612,0.2521831603528605
0.12585867045554078,0.07286011092081711,0.06566062593285862,0.09177910182060671,0.06132101911571942,0.09726247539879539,0.08504092474524648,0.09788227264483629,0.08438511610179568,0.14075167965742735,0.09381494103023405,0.13843509109016972,0.15468123140719925,0.09898834009586294,0.51494670911253,0.2934565425784592,0.16132070426079953,0.10159780781502187,0.12385310540386334,0.15331387834442645,0.28292538319790206
0.10771681985379282,0.051948299084048896,0.08564257724899349,0.09021263181685762,0.07666105175682884,0.08926305147488957,0.09061107744093208,0.09111797650399465,0.09599547771128733,0.12608243624490145,0.08469605445116442,0.12468587492793973,0.2728567573623915,0.14637506145145593,0.4497291853422835,0.326259026388852,0.15686802524010773,0.13916066906830732,0.13971661922769407,0.16735004770212072,0.2349064805461676
0.11069718013776181,0.07073291579078499,0.07108246681218873,0.08026234601088009,0.06380501916872076,0.0858934700560517,0.09489045773849764,0.10310314058935868,0.09643175865670466,0.12801047395676696,0.08352662276563852,0.1788745095000525,0.1066380775361781,0.11598621137998472,0.5306250357845719,0.3030274114287574,0.14398078919065657,0.13396604705053697,0.13176911384652448,0.16659241229870933,0.23119224811321692
0.11023496109138588,0.07662889835559801,0.0699767715568273,0.07137855738944847,0.08056812989667024,0.09070210732884433,0.10399700335210504,0.09569452130581947,0.08011106248951708,0.13328575744634344,0.09160271014551179,0.35075732895833045,0.10834610382202622,0.16484072519536003,0.5083719297566682,0.4097199735245882,0.2103453110689789,0.11708336996266891,0.14431127578293015,0.16688885108429166,0.2601074298162402
0.11118586922276488,0.08342146160308085,0.06887792880857214,0.0840233150482019,0.08018202436194821,0.10174510464274054,0.12513807124608575,0.12682544166838797,0.09712236831242302,0.12479985286683655,0.09170762715455731,0.24781138401027447,0.13722641241768604,0.13253746778300596,0.836643792634403,0.3928071909745222,0.2709015405697496,0.32577103717700995,0.174883568480114,0.15439749214078818,0.2706042971424651
0.12943838422245124,0.08043713093259697,0.0787302514119425,0.08714971872847867,0.06876290249813602,0.08924215517804905,0.09840717702071657,0.104063487291439,0.1020799047050001,0.13395175707172619,0.11247481931979034,0.25475717865773395,0.10776583489207832,0.1456619484897632,0.5216288420501396,0.3215851783953367,0.18539579688250588,0.09993159373419955,0.1601539038916605,0.2041808086955894,0.5282997199269772
0.11155831902836624,0.08177975047374661,0.06481070910124899,0.1023596061003535,0.08567871499544935,0.09292412193770395,0.09545842687652269,0.09313707727739189,0.09384357260107601,0.11745659279303708,0.0879502287702191,0.13831304739160177,0.11597001517647663,0.09186283196192482,0.37376683008203915,0.3441935356438994,0.19405918863716054,0.12582676031290482,0.12141770897282259,0.15315462631157437,0.297973015936798
0.11347321748279224,0.08192862434825612,0.05695302535343632,0.10903322655676659,0.06855306676040213,0.08543892387817241,0.0927604184406374,0.10753739260145137,0.08177247881733431,0.12588056706170878,0.08312721493301951,0.14609729612605463,0.06496522971742653,0.08123858263254036,0.2549956098746177,0.5174397369379823,0.2958169580537752,0.12120076822458872,0.1820238042979193,0.20712453168480996,0.25782580745742806
0.10308948092553226,0.07225911358940132,0.08491594837822455,0.0926660584468795,0.06782437073995844,0.09128483167728954,0.09271756277821463,0.08890034816356075,0.07197742337152921,0.14073929583325434,0.12036133939510349,0.08388168495546698,0.16407467420343622,0.06024803990907505,0.5001884377081688,0.32199386103825056,0.15511359687762766,0.12293736374913847,0.09712898235738245,0.1370826297642046,0.297543170375004
